date,baseline_reg,baseline_clf,xgboost_reg,xgboost_clf,lstm_reg,lstm_clf,buy_and_hold
2024-04-25,10000.0,10740.57271798921,10573.41259616503,10662.981630272041,10000.0,10462.951404024583,10313.556172394383
2024-04-26,10000.0,10584.299467357705,10414.28478659847,10507.837314923225,10000.0,10310.71748968519,10163.495929710005
2024-04-29,10000.0,10494.634968111635,10326.060560396618,10502.583396265763,10000.0,10223.370629986868,10077.396251980987
2024-04-30,10000.0,10119.32331737638,9956.777508028383,10121.736200239913,10000.0,9857.75999951926,9717.005992201915
2024-05-01,10000.0,10112.918291457485,9950.47536548313,10115.329647086754,10000.0,9851.52053010822,9710.85561304294
2024-05-02,10000.0,10005.320892362202,9844.606294040907,10007.706592133634,10000.0,9746.704298470235,9607.535999768119
2024-05-03,10000.0,10052.715543260692,9891.239648788713,10055.112543959805,10000.0,9792.873896887559,9653.046365662662
2024-05-06,10000.0,10039.9054914229,9886.29402896432,10042.299437653488,10000.0,9780.39495806548,9640.74560734471
2024-05-07,10000.0,10118.04211673865,9886.29402896432,10120.454694108725,10000.0,9856.511915235176,9715.775728686898
2024-05-08,10000.0,10152.627693069096,9886.29402896432,10155.048517131348,10000.0,9890.203526839794,9748.986274679595
2024-05-09,10000.0,10024.534992849141,9886.29402896432,10026.925274090338,10000.0,9885.258425076374,9625.986198828938
2024-05-10,10000.0,10134.694793219884,9989.99154981264,10021.911811453292,10000.0,9988.945083456367,9731.766339133792
2024-05-13,10000.0,9993.792041162136,9984.996554037732,10021.911811453292,10000.0,9983.950610914639,9596.465504965185
2024-05-14,10000.0,10071.928666477887,10058.071913417596,10095.257335743843,10000.0,10057.018315542777,9671.495626307375
2024-05-15,10000.0,10148.78506842566,10053.04287746089,10172.291753009373,10000.0,10133.760940282367,9745.296422550655
2024-05-16,10000.0,10255.101266883214,10053.04287746089,10278.854201764518,10000.0,10239.91974963585,9847.38577231046
2024-05-17,10000.0,10221.797868460242,10015.369141372756,10245.47366578498,10000.0,10206.665653126569,9815.406428248883
2024-05-20,10000.0,10152.627693069098,9947.59585441965,10240.350928952088,10000.0,10201.562320300007,9748.986274679597
2024-05-21,10000.0,9936.150716971057,9942.622056492439,10240.350928952088,10000.0,10201.562320300007,9541.11584619883
2024-05-22,10000.0,9846.486217724987,9942.622056492439,10240.350928952088,10000.0,10201.562320300007,9455.016168469812
2024-05-23,10000.0,9955.364817458,9942.622056492439,10240.350928952088,10000.0,10309.266431764785,9559.566045259651
2024-05-24,10000.0,10225.64049310368,9942.622056492439,10240.350928952088,10000.0,10589.15009261972,9819.096280377826
2024-05-28,10000.0,10148.78506842566,9942.622056492439,10240.350928952088,10000.0,10583.855517573413,9745.296422550653
2024-05-29,10000.0,9979.70274322611,9942.622056492439,10240.350928952088,10000.0,10583.855517573413,9582.93635996443
2024-05-30,10000.0,9861.856716298746,9820.242588453371,10240.350928952088,10000.0,10583.855517573413,9469.775576985585
2024-05-31,10000.0,9507.040366688161,9815.332467159145,10240.350928952088,10000.0,10197.770693752285,9129.06577978235
2024-06-03,10000.0,9382.790291111645,9815.332467159145,10101.396844323772,10000.0,10064.493277170528,9009.755556060636
2024-06-04,10000.0,9487.826266201218,9920.302884579745,10214.477285684097,10000.0,10177.160600253672,9110.615580721531
2024-06-05,10000.0,9677.40389252544,10118.521888649782,10418.574230930755,10000.0,10380.511915421563,9292.65610588359
2024-06-06,10000.0,9674.841491249983,10115.842687318396,10415.815581173621,10000.0,10377.763343876199,9290.195578853558
2024-06-07,10000.0,9957.926241463712,10411.831081849801,10720.581148106734,10000.0,10681.4155067189,9562.025633873576
2024-06-10,10000.0,9978.421542588383,10433.260605237228,10742.64613769734,10000.0,10703.399885990197,9581.706096449412
2024-06-11,10000.0,10055.276967266404,10513.619274308248,10825.387744428886,10000.0,10785.839211711756,9655.505954276585
2024-06-12,10000.0,10070.648443109909,10529.691416848818,10841.936486621842,10000.0,10802.32749616523,9670.266301208461
2024-06-13,10000.0,10048.87194134751,10506.9222927957,10818.49217215267,10000.0,10796.926332417148,9649.35557511761
2024-06-14,10000.0,10289.686843213663,10758.71408351839,11077.75053925923,10000.0,11050.26942455913,9880.596318303154
2024-06-17,10000.0,10448.521517850877,10753.33472647663,11248.750000119979,10000.0,11220.844678738122,10033.11614960146
2024-06-18,10000.0,10525.376942528901,10827.055575991386,11331.491606851527,10000.0,11303.381024340437,10106.916007428634
2024-06-20,10000.0,10340.924118755594,10637.315960484344,11132.911961119135,10000.0,11105.294004796198,9929.796536326641
2024-06-21,10000.0,10456.206767137755,10755.902843196141,11257.02384515815,10000.0,11099.7413577938,10040.495853859346
2024-06-24,10000.0,10353.73319332364,10750.524891774545,11146.702053554956,10000.0,11099.7413577938,9942.096356228483
2024-06-25,10000.0,10362.699643248248,10754.459705347179,11156.355223471692,10000.0,11099.7413577938,9950.706324001387
2024-06-26,10000.0,10470.29704234353,10749.082475494506,11150.777045859957,10000.0,11099.7413577938,10054.025937276208
2024-06-27,10000.0,10444.678893207438,10749.082475494506,11117.918547011801,10000.0,11099.7413577938,10029.426297472519
2024-06-28,10000.0,10680.368992522675,10749.082475494506,11112.359587738294,10000.0,11099.7413577938,10255.745986597996
2024-07-01,10000.0,10607.35619248809,10749.082475494506,11030.837447493062,10000.0,11099.7413577938,10185.635980899768
2024-07-02,10000.0,10744.415342632652,10882.598349756185,11025.322028769318,10000.0,11099.7413577938,10317.246024523325
2024-07-03,10000.0,10652.189419380873,10877.157050581307,11025.322028769318,10000.0,11099.7413577938,10228.686758180382
2024-07-05,10000.0,10545.872243653572,10763.155943543703,10909.768036960528,10000.0,11099.7413577938,10126.59647000447
2024-07-08,10000.0,10428.027193995953,10642.882853055347,10787.856626850054,10000.0,10970.157216523097,10013.43662544173
2024-07-09,10000.0,10516.410492604293,10733.08717221907,10879.289678937204,10000.0,11063.135366945131,10098.30603965573
2024-07-10,10000.0,10583.019243989726,10801.06830851603,10948.196831428451,10000.0,11133.206959692341,10162.266604611092
2024-07-11,10000.0,10530.500767810066,10795.667774361773,10893.866153079913,10000.0,11077.958164331048,10111.836123072591
2024-07-12,10000.0,10492.07354410593,10750.875086445514,10854.112959865492,10000.0,11037.533194431506,10074.936663367058
2024-07-15,10000.0,10344.766743399032,10745.499648902292,10701.723191731693,10000.0,10882.568239627004,9933.486388455582
2024-07-16,10000.0,10612.480017769258,10745.499648902292,10978.674178460362,10000.0,11164.199333807741,10190.556096543723
2024-07-17,10000.0,10608.637393125817,10736.236109960895,10974.69896023806,10000.0,11160.156939625369,10186.866244414781
2024-07-18,10000.0,10264.06771680782,10387.52201368309,10618.239565097734,10000.0,10797.673849493876,9855.99574008336
2024-07-19,10000.0,10219.235467184786,10342.150530102599,10571.860334185205,10000.0,10750.510870573158,9812.945901218849
2024-07-22,10000.0,9858.014091655305,9976.584451073228,10198.174656417774,10000.0,10370.51039629278,9466.08572485664
2024-07-23,10000.0,9938.712140976766,10058.253121518115,10281.65727206032,10000.0,10455.40375835007,9543.575434812756
2024-07-24,10000.0,10027.096416854853,10147.70046702263,10373.091335138879,10000.0,10548.382936847938,9628.445787442863
2024-07-25,10000.0,9883.633218061143,10002.511719565055,10224.677796218793,10000.0,10397.461404301643,9490.686303076434
2024-07-26,10000.0,9710.707290948407,9827.505871573752,10045.784888283973,10000.0,10215.545441488279,9324.635449945163
2024-07-29,10000.0,9572.367917435864,9687.502577814543,9902.67197732409,10000.0,10210.437668767536,9191.796081222692
2024-07-30,10000.0,9979.702743226106,10099.736751105038,10324.062295741953,10000.0,10639.819181421388,9582.936359964426
2024-07-31,10000.0,9774.753641058382,9892.322559267073,10112.041221299412,10000.0,10421.313536056412,9386.13548787049
2024-08-01,10000.0,9417.374890172341,9530.645323255436,10106.985200688763,10000.0,10040.295645389207,9042.965163637224
2024-08-02,10000.0,9343.081866769775,9525.88000059381,10106.985200688763,10000.0,9961.088442952147,8971.625832840082
2024-08-05,10000.0,9376.385265192745,9525.88000059381,10106.985200688763,10000.0,9996.59472469864,9003.605176901658
2024-08-06,10000.0,9636.414267545839,9785.29190015401,10382.221948325103,10000.0,10273.823579920829,9253.29611914802
2024-08-07,10000.0,9759.383142484625,9910.160580816906,10377.030837350942,10000.0,10404.926341992534,9371.376079354719
2024-08-08,10000.0,9842.642615811797,9994.706370084532,10460.371085441566,10000.0,10493.693088270904,9451.32537792476
2024-08-09,10000.0,10255.101266883208,9989.70901689949,10455.140899898846,10000.0,10488.446241726768,9847.385772310454
2024-08-12,10000.0,10036.062866779459,9989.70901689949,10455.140899898846,10000.0,10488.446241726768,9637.055755215762
2024-08-13,10000.0,9860.576492930759,9989.70901689949,10455.140899898846,10000.0,10488.446241726768,9468.546251886672
2024-08-14,10000.0,10011.725918281096,9989.70901689949,10455.140899898846,10000.0,10488.446241726768,9613.686378927092
2024-08-15,10000.0,9818.305667313436,9989.70901689949,10455.140899898846,10000.0,10488.446241726768,9427.95600163609
2024-08-16,10000.0,9526.254467175098,9989.70901689949,10138.919095729307,10000.0,10488.446241726768,9147.515978843168
2024-08-19,10000.0,9483.983641557776,9940.386851035228,10133.849636181443,10000.0,10436.661661783777,9106.925728592587
2024-08-20,10000.0,9213.707965912092,9657.104543316937,9839.987078554686,10000.0,10139.236456434024,8847.395493474412
2024-08-21,10000.0,9352.048316694381,9652.275991045279,9835.067085015411,10000.0,10291.473268501119,8980.235800612987
2024-08-22,10000.0,9585.176992003908,9888.062629985207,10075.318960725956,10000.0,10548.020010864093,9204.09590112454
2024-08-23,10000.0,9916.93661648411,10230.305652487266,10424.043250086199,10000.0,10542.74600085866,9522.66564713801
